group	group_name	start	end	width
572	NA	1604	1809	206
572	NA	1810	1809	0
572	NA	1810	1864	55
572	NA	1865	1865	1
572	NA	1866	1923	58
573	NA	1	1923	1923
574	NA	1	101	101
574	NA	102	113	12
574	NA	114	1923	1810
575	NA	1	808	808
575	NA	809	808	0
575	NA	809	851	43
575	NA	852	851	0
575	NA	852	1923	1072
576	NA	1	941	941
576	NA	942	945	4
576	NA	946	1105	160
576	NA	1106	1105	0
576	NA	1106	1356	251
576	NA	1357	1357	1
576	NA	1358	1852	495
576	NA	1853	1853	1
576	NA	1854	1883	30
576	NA	1884	1883	0
576	NA	1884	1923	40
577	NA	1	962	962
577	NA	963	965	3
577	NA	966	967	2
577	NA	968	970	3
577	NA	971	1066	96
577	NA	1067	1067	1
577	NA	1068	1068	1
577	NA	1069	1069	1
577	NA	1070	1114	45
577	NA	1115	1115	1
577	NA	1116	1116	1
577	NA	1117	1117	1
577	NA	1118	1923	806
578	NA	1	103	103
578	NA	104	103	0
578	NA	104	240	137
578	NA	241	241	1
578	NA	242	369	128
578	NA	370	370	1
578	NA	371	1809	1439
578	NA	1810	1810	1
578	NA	1811	1824	14
578	NA	1825	1825	1
578	NA	1826	1889	64
578	NA	1890	1890	1
578	NA	1891	1923	33
579	NA	1	317	317
579	NA	318	318	1
579	NA	319	935	617
579	NA	936	939	4
579	NA	940	1923	984
580	NA	1	103	103
580	NA	104	103	0
580	NA	104	1923	1820
581	NA	1	103	103
581	NA	104	103	0
581	NA	104	939	836
581	NA	940	945	6
581	NA	946	1923	978
582	NA	1	103	103
582	NA	104	103	0
582	NA	104	1923	1820
583	NA	1	13	13
583	NA	14	13	0
583	NA	14	48	35
583	NA	49	48	0
583	NA	49	129	81
583	NA	130	130	1
583	NA	131	260	130
583	NA	261	261	1
583	NA	262	369	108
583	NA	370	370	1
583	NA	371	410	40
583	NA	411	410	0
583	NA	411	688	278
583	NA	689	688	0
583	NA	689	1006	318
583	NA	1007	1007	1
583	NA	1008	1044	37
583	NA	1045	1045	1
583	NA	1046	1074	29
583	NA	1075	1074	0
583	NA	1075	1170	96
583	NA	1171	1171	1
583	NA	1172	1183	12
583	NA	1184	1183	0
583	NA	1184	1746	563
583	NA	1747	1746	0
583	NA	1747	1889	143
583	NA	1890	1889	0
583	NA	1890	1923	34
584	NA	1	129	129
584	NA	130	130	1
584	NA	131	254	124
584	NA	255	254	0
584	NA	255	357	103
584	NA	358	358	1
584	NA	359	643	285
584	NA	644	643	0
584	NA	644	966	323
584	NA	967	966	0
584	NA	967	1044	78
584	NA	1045	1044	0
584	NA	1045	1057	13
584	NA	1058	1058	1
584	NA	1059	1923	865
585	NA	1	103	103
585	NA	104	103	0
585	NA	104	941	838
585	NA	942	945	4
585	NA	946	1623	678
585	NA	1624	1623	0
585	NA	1624	1625	2
585	NA	1626	1625	0
585	NA	1626	1627	2
585	NA	1628	1627	0
585	NA	1628	1631	4
585	NA	1632	1631	0
585	NA	1632	1632	1
585	NA	1633	1632	0
585	NA	1633	1734	102
585	NA	1735	1735	1
585	NA	1736	1923	188
586	NA	1	1200	1200
586	NA	1201	1200	0
586	NA	1201	1923	723
587	NA	1	102	102
587	NA	103	102	0
587	NA	103	510	408
587	NA	511	510	0
587	NA	511	1150	640
587	NA	1151	1150	0
587	NA	1151	1824	674
587	NA	1825	1825	1
587	NA	1826	1923	98
588	NA	1	103	103
588	NA	104	103	0
588	NA	104	1923	1820
589	NA	1	103	103
589	NA	104	103	0
589	NA	104	369	266
589	NA	370	370	1
589	NA	371	1922	1552
590	NA	1	1923	1923
591	NA	1	1889	1889
591	NA	1890	1889	0
591	NA	1890	1923	34
592	NA	1	101	101
592	NA	102	113	12
592	NA	114	1923	1810
593	NA	1	1923	1923
594	NA	1	103	103
594	NA	104	103	0
594	NA	104	945	842
594	NA	946	963	18
594	NA	964	1923	960
595	NA	1	519	519
595	NA	520	520	1
595	NA	521	945	425
595	NA	946	945	0
595	NA	946	1408	463
595	NA	1409	1409	1
595	NA	1410	1923	514
596	NA	1	103	103
596	NA	104	103	0
596	NA	104	1923	1820
597	NA	1	1923	1923
598	NA	1	942	942
598	NA	943	944	2
598	NA	945	963	19
598	NA	964	963	0
598	NA	964	965	2
598	NA	966	969	4
598	NA	970	970	1
598	NA	971	1923	953
599	NA	1	103	103
599	NA	104	105	2
599	NA	106	829	724
599	NA	830	829	0
599	NA	830	832	3
599	NA	833	833	1
599	NA	834	834	1
599	NA	835	836	2
599	NA	837	838	2
599	NA	839	838	0
599	NA	839	840	2
599	NA	841	843	3
599	NA	844	845	2
599	NA	846	846	1
599	NA	847	848	2
599	NA	849	850	2
599	NA	851	852	2
599	NA	853	852	0
599	NA	853	854	2
599	NA	855	854	0
599	NA	855	856	2
599	NA	857	859	3
599	NA	860	861	2
599	NA	862	861	0
599	NA	862	864	3
599	NA	865	866	2
599	NA	867	867	1
599	NA	868	870	3
599	NA	871	872	2
599	NA	873	872	0
599	NA	873	875	3
599	NA	876	875	0
599	NA	876	876	1
599	NA	877	877	1
599	NA	878	880	3
599	NA	881	881	1
599	NA	882	884	3
599	NA	885	884	0
599	NA	885	885	1
599	NA	886	886	1
599	NA	887	889	3
599	NA	890	889	0
599	NA	890	890	1
599	NA	891	892	2
599	NA	893	896	4
599	NA	897	896	0
599	NA	897	898	2
599	NA	899	899	1
599	NA	900	901	2
599	NA	902	901	0
599	NA	902	907	6
599	NA	908	909	2
599	NA	910	912	3
599	NA	913	912	0
599	NA	913	915	3
599	NA	916	915	0
599	NA	916	916	1
599	NA	917	918	2
599	NA	919	921	3
599	NA	922	922	1
599	NA	923	924	2
599	NA	925	926	2
599	NA	927	926	0
599	NA	927	929	3
599	NA	930	930	1
599	NA	931	931	1
599	NA	932	934	3
599	NA	935	936	2
599	NA	937	937	1
599	NA	938	939	2
599	NA	940	939	0
599	NA	940	942	3
599	NA	943	946	4
599	NA	947	948	2
599	NA	949	948	0
599	NA	949	949	1
599	NA	950	952	3
599	NA	953	953	1
599	NA	954	956	3
599	NA	957	956	0
599	NA	957	959	3
599	NA	960	960	1
600	NA	1	103	103
600	NA	104	117	14
600	NA	118	189	72
600	NA	190	190	1
600	NA	191	240	50
600	NA	241	241	1
600	NA	242	254	13
600	NA	255	255	1
600	NA	256	1923	1668
601	NA	1	103	103
601	NA	104	103	0
601	NA	104	1923	1820
601	NA	1924	1923	0
602	NA	1	103	103
602	NA	104	103	0
602	NA	104	1006	903
602	NA	1007	1006	0
602	NA	1007	1921	915
603	NA	1	27	27
603	NA	28	28	1
603	NA	29	962	934
603	NA	963	965	3
603	NA	966	967	2
603	NA	968	970	3
603	NA	971	1923	953
604	NA	1	102	102
604	NA	103	102	0
604	NA	103	177	75
604	NA	178	178	1
604	NA	179	1923	1745
605	NA	1	0	0
605	NA	1	3	3
605	NA	4	3	0
605	NA	4	103	100
605	NA	104	117	14
605	NA	118	1535	1418
605	NA	1536	1536	1
605	NA	1537	1889	353
605	NA	1890	1890	1
605	NA	1891	1917	27
605	NA	1918	1920	3
605	NA	1921	1922	2
606	NA	1	249	249
606	NA	250	249	0
606	NA	250	455	206
606	NA	456	455	0
606	NA	456	962	507
606	NA	963	965	3
606	NA	966	967	2
606	NA	968	970	3
606	NA	971	1466	496
606	NA	1467	1466	0
606	NA	1467	1923	457
607	NA	1	1786	1786
607	NA	1787	1787	1
607	NA	1788	1923	136
608	NA	1	27	27
608	NA	28	28	1
608	NA	29	432	404
608	NA	433	433	1
608	NA	434	945	512
608	NA	946	945	0
608	NA	946	1044	99
608	NA	1045	1044	0
608	NA	1045	1243	199
608	NA	1244	1244	1
608	NA	1245	1535	291
608	NA	1536	1536	1
608	NA	1537	1715	179
608	NA	1716	1716	1
608	NA	1717	1923	207
609	NA	1	102	102
609	NA	103	102	0
609	NA	103	186	84
609	NA	187	186	0
609	NA	187	1759	1573
609	NA	1760	1760	1
609	NA	1761	1923	163
610	NA	1	60	60
610	NA	61	100	40
610	NA	101	108	8
610	NA	109	112	4
610	NA	113	114	2
610	NA	115	119	5
610	NA	120	122	3
610	NA	123	123	1
610	NA	124	124	1
610	NA	125	125	1
610	NA	126	127	2
610	NA	128	128	1
610	NA	129	130	2
610	NA	131	132	2
610	NA	133	135	3
610	NA	136	135	0
610	NA	136	137	2
610	NA	138	139	2
610	NA	140	139	0
610	NA	140	143	4
610	NA	144	144	1
610	NA	145	146	2
610	NA	147	486	340
610	NA	487	487	1
610	NA	488	491	4
610	NA	492	493	2
610	NA	494	494	1
610	NA	495	500	6
610	NA	501	502	2
610	NA	503	504	2
610	NA	505	507	3
610	NA	508	507	0
610	NA	508	510	3
610	NA	511	511	1
610	NA	512	512	1
610	NA	513	512	0
610	NA	513	585	73
610	NA	586	586	1
610	NA	587	726	140
610	NA	727	989	263
610	NA	990	1006	17
610	NA	1007	1007	1
610	NA	1008	1032	25
610	NA	1033	1032	0
610	NA	1033	1200	168
610	NA	1201	1201	1
610	NA	1202	1786	585
610	NA	1787	1787	1
610	NA	1788	1923	136
611	NA	1	103	103
611	NA	104	103	0
611	NA	104	1923	1820
612	NA	1	288	288
612	NA	289	289	1
612	NA	290	940	651
612	NA	941	940	0
612	NA	941	943	3
612	NA	944	943	0
612	NA	944	944	1
612	NA	945	945	1
612	NA	946	1535	590
612	NA	1536	1536	1
612	NA	1537	1672	136
612	NA	1673	1673	1
612	NA	1674	1922	249
613	NA	1	25	25
613	NA	26	143	118
613	NA	144	240	97
613	NA	241	240	0
613	NA	241	424	184
613	NA	425	425	1
613	NA	426	449	24
613	NA	450	449	0
613	NA	450	938	489
613	NA	939	949	11
613	NA	950	1170	221
613	NA	1171	1171	1
613	NA	1172	1374	203
613	NA	1375	1375	1
613	NA	1376	1401	26
613	NA	1402	1402	1
613	NA	1403	1535	133
613	NA	1536	1535	0
613	NA	1536	1923	388
614	NA	1	1923	1923
615	NA	1	797	797
615	NA	798	797	0
615	NA	798	939	142
615	NA	940	945	6
615	NA	946	967	22
615	NA	968	968	1
615	NA	969	969	1
615	NA	970	1570	601
615	NA	1571	1570	0
615	NA	1571	1923	353
616	NA	1	27	27
616	NA	28	28	1
616	NA	29	103	75
616	NA	104	116	13
616	NA	117	117	1
616	NA	118	317	200
616	NA	318	318	1
616	NA	319	842	524
616	NA	843	843	1
616	NA	844	851	8
616	NA	852	852	1
616	NA	853	938	86
616	NA	939	945	7
616	NA	946	1478	533
616	NA	1479	1478	0
616	NA	1479	1501	23
616	NA	1502	1501	0
616	NA	1502	1535	34
616	NA	1536	1536	1
616	NA	1537	1923	387
617	NA	1	103	103
617	NA	104	103	0
617	NA	104	945	842
617	NA	946	963	18
617	NA	964	1006	43
617	NA	1007	1007	1
617	NA	1008	1786	779
617	NA	1787	1787	1
617	NA	1788	1800	13
617	NA	1801	1801	1
617	NA	1802	1923	122
618	NA	1	1809	1809
618	NA	1810	1810	1
618	NA	1811	1923	113
619	NA	1	796	796
619	NA	797	796	0
619	NA	797	1923	1127
620	NA	1	103	103
620	NA	104	103	0
620	NA	104	941	838
620	NA	942	945	4
620	NA	946	1923	978
621	NA	1	103	103
621	NA	104	117	14
621	NA	118	357	240
621	NA	358	358	1
621	NA	359	1923	1565
622	NA	1	103	103
622	NA	104	103	0
622	NA	104	1809	1706
622	NA	1810	1810	1
622	NA	1811	1923	113
623	NA	1	101	101
623	NA	102	113	12
623	NA	114	1824	1711
623	NA	1825	1825	1
623	NA	1826	1923	98
624	NA	1	103	103
624	NA	104	103	0
624	NA	104	288	185
624	NA	289	289	1
624	NA	290	1923	1634
625	NA	1	103	103
625	NA	104	103	0
625	NA	104	222	119
625	NA	223	223	1
625	NA	224	424	201
625	NA	425	424	0
625	NA	425	471	47
625	NA	472	471	0
625	NA	472	645	174
625	NA	646	645	0
625	NA	646	779	134
625	NA	780	779	0
625	NA	780	945	166
625	NA	946	946	1
625	NA	947	979	33
625	NA	980	980	1
625	NA	981	1106	126
625	NA	1107	1106	0
625	NA	1107	1748	642
625	NA	1749	1748	0
625	NA	1749	1923	175
626	NA	1	939	939
626	NA	940	945	6
626	NA	946	1923	978
627	NA	1	103	103
627	NA	104	105	2
627	NA	106	829	724
627	NA	830	829	0
627	NA	830	832	3
627	NA	833	833	1
627	NA	834	834	1
627	NA	835	836	2
627	NA	837	838	2
627	NA	839	838	0
627	NA	839	840	2
627	NA	841	843	3
627	NA	844	845	2
627	NA	846	846	1
627	NA	847	848	2
627	NA	849	850	2
627	NA	851	852	2
627	NA	853	852	0
627	NA	853	854	2
627	NA	855	854	0
627	NA	855	856	2
627	NA	857	859	3
627	NA	860	861	2
627	NA	862	861	0
627	NA	862	864	3
627	NA	865	866	2
627	NA	867	867	1
627	NA	868	870	3
627	NA	871	872	2
627	NA	873	872	0
627	NA	873	875	3
627	NA	876	875	0
627	NA	876	876	1
627	NA	877	877	1
627	NA	878	880	3
627	NA	881	881	1
627	NA	882	884	3
627	NA	885	884	0
627	NA	885	885	1
627	NA	886	886	1
627	NA	887	889	3
627	NA	890	889	0
627	NA	890	890	1
627	NA	891	892	2
627	NA	893	896	4
627	NA	897	896	0
627	NA	897	898	2
627	NA	899	899	1
627	NA	900	901	2
627	NA	902	901	0
627	NA	902	907	6
627	NA	908	909	2
627	NA	910	912	3
627	NA	913	912	0
627	NA	913	915	3
627	NA	916	915	0
627	NA	916	916	1
627	NA	917	918	2
627	NA	919	921	3
627	NA	922	922	1
627	NA	923	924	2
627	NA	925	926	2
627	NA	927	926	0
627	NA	927	929	3
627	NA	930	930	1
627	NA	931	931	1
627	NA	932	934	3
627	NA	935	936	2
627	NA	937	937	1
627	NA	938	939	2
627	NA	940	939	0
627	NA	940	942	3
627	NA	943	946	4
627	NA	947	948	2
627	NA	949	948	0
627	NA	949	949	1
627	NA	950	952	3
627	NA	953	953	1
627	NA	954	956	3
627	NA	957	956	0
627	NA	957	959	3
627	NA	960	960	1
628	NA	1	102	102
628	NA	103	102	0
628	NA	103	700	598
628	NA	701	701	1
628	NA	702	1923	1222
629	NA	1	962	962
629	NA	963	965	3
629	NA	966	967	2
629	NA	968	970	3
629	NA	971	1923	953
630	NA	1	103	103
630	NA	104	105	2
630	NA	106	829	724
630	NA	830	829	0
630	NA	830	832	3
630	NA	833	833	1
630	NA	834	834	1
630	NA	835	836	2
630	NA	837	838	2
630	NA	839	838	0
630	NA	839	840	2
630	NA	841	843	3
630	NA	844	845	2
630	NA	846	846	1
630	NA	847	848	2
630	NA	849	850	2
630	NA	851	852	2
630	NA	853	852	0
630	NA	853	854	2
630	NA	855	854	0
630	NA	855	856	2
630	NA	857	859	3
630	NA	860	861	2
630	NA	862	861	0
630	NA	862	864	3
630	NA	865	866	2
630	NA	867	867	1
630	NA	868	870	3
630	NA	871	872	2
630	NA	873	872	0
630	NA	873	875	3
630	NA	876	875	0
630	NA	876	876	1
630	NA	877	877	1
630	NA	878	880	3
630	NA	881	881	1
630	NA	882	884	3
630	NA	885	884	0
630	NA	885	885	1
630	NA	886	886	1
630	NA	887	889	3
630	NA	890	889	0
630	NA	890	890	1
630	NA	891	892	2
630	NA	893	896	4
630	NA	897	896	0
630	NA	897	898	2
630	NA	899	899	1
630	NA	900	901	2
630	NA	902	901	0
630	NA	902	907	6
630	NA	908	909	2
630	NA	910	912	3
630	NA	913	912	0
630	NA	913	915	3
630	NA	916	915	0
630	NA	916	916	1
630	NA	917	918	2
630	NA	919	921	3
630	NA	922	922	1
630	NA	923	924	2
630	NA	925	926	2
630	NA	927	926	0
630	NA	927	929	3
630	NA	930	930	1
630	NA	931	931	1
630	NA	932	934	3
630	NA	935	936	2
630	NA	937	937	1
630	NA	938	939	2
630	NA	940	939	0
630	NA	940	942	3
630	NA	943	946	4
630	NA	947	948	2
630	NA	949	948	0
630	NA	949	949	1
630	NA	950	952	3
630	NA	953	953	1
630	NA	954	956	3
630	NA	957	956	0
630	NA	957	959	3
630	NA	960	960	1
631	NA	1	1923	1923
632	NA	1	260	260
632	NA	261	261	1
632	NA	262	273	12
632	NA	274	274	1
632	NA	275	288	14
632	NA	289	288	0
632	NA	289	317	29
632	NA	318	318	1
632	NA	319	703	385
632	NA	704	704	1
632	NA	705	876	172
632	NA	877	877	1
632	NA	878	940	63
632	NA	941	940	0
632	NA	941	943	3
632	NA	944	943	0
632	NA	944	945	2
632	NA	946	1193	248
632	NA	1194	1193	0
632	NA	1194	1608	415
632	NA	1609	1609	1
632	NA	1610	1824	215
632	NA	1825	1825	1
632	NA	1826	1923	98
633	NA	1	189	189
633	NA	190	189	0
633	NA	190	1923	1734
634	NA	1	103	103
634	NA	104	103	0
634	NA	104	357	254
634	NA	358	358	1
634	NA	359	560	202
634	NA	561	561	1
634	NA	562	585	24
634	NA	586	586	1
634	NA	587	851	265
634	NA	852	852	1
634	NA	853	1535	683
634	NA	1536	1536	1
634	NA	1537	1753	217
634	NA	1754	1753	0
634	NA	1754	1786	33
634	NA	1787	1787	1
634	NA	1788	1923	136
634	NA	1924	1923	0
635	NA	1	27	27
635	NA	28	28	1
635	NA	29	103	75
635	NA	104	116	13
635	NA	117	117	1
635	NA	118	938	821
635	NA	939	945	7
635	NA	946	1154	209
635	NA	1155	1155	1
635	NA	1156	1922	767
636	NA	1	103	103
636	NA	104	103	0
636	NA	104	606	503
636	NA	607	607	1
636	NA	608	945	338
636	NA	946	963	18
636	NA	964	1923	960
637	NA	1	1923	1923
638	NA	1	172	172
638	NA	173	173	1
638	NA	174	531	358
638	NA	532	532	1
638	NA	533	880	348
638	NA	881	881	1
638	NA	882	1015	134
638	NA	1016	1015	0
638	NA	1016	1170	155
638	NA	1171	1171	1
638	NA	1172	1923	752
639	NA	1	103	103
639	NA	104	103	0
639	NA	104	172	69
639	NA	173	172	0
639	NA	173	231	59
639	NA	232	231	0
639	NA	232	298	67
639	NA	299	299	1
639	NA	300	369	70
639	NA	370	370	1
639	NA	371	436	66
639	NA	437	436	0
639	NA	437	493	57
639	NA	494	494	1
639	NA	495	880	386
639	NA	881	880	0
639	NA	881	939	59
639	NA	940	945	6
639	NA	946	1006	61
639	NA	1007	1007	1
639	NA	1008	1301	294
639	NA	1302	1301	0
639	NA	1302	1345	44
639	NA	1346	1345	0
639	NA	1346	1889	544
639	NA	1890	1890	1
639	NA	1891	1923	33
640	NA	1	102	102
640	NA	103	102	0
640	NA	103	871	769
640	NA	872	871	0
640	NA	872	1482	611
640	NA	1483	1482	0
640	NA	1483	1535	53
640	NA	1536	1535	0
640	NA	1536	1824	289
640	NA	1825	1825	1
640	NA	1826	1923	98
641	NA	1	202	202
641	NA	203	203	1
641	NA	204	217	14
641	NA	218	218	1
641	NA	219	680	462
641	NA	681	681	1
641	NA	682	727	46
641	NA	728	728	1
641	NA	729	941	213
641	NA	942	945	4
641	NA	946	1200	255
641	NA	1201	1200	0
641	NA	1201	1535	335
641	NA	1536	1536	1
641	NA	1537	1755	219
641	NA	1756	1756	1
641	NA	1757	1800	44
641	NA	1801	1801	1
641	NA	1802	1864	63
641	NA	1865	1865	1
641	NA	1866	1889	24
641	NA	1890	1890	1
641	NA	1891	1923	33
642	NA	1	1923	1923
643	NA	1	102	102
643	NA	103	102	0
643	NA	103	1923	1821
644	NA	1	103	103
644	NA	104	103	0
644	NA	104	393	290
644	NA	394	394	1
644	NA	395	1923	1529
645	NA	1	277	277
645	NA	278	277	0
645	NA	278	842	565
645	NA	843	843	1
645	NA	844	1889	1046
645	NA	1890	1890	1
645	NA	1891	1923	33
646	NA	1	27	27
646	NA	28	28	1
646	NA	29	102	74
646	NA	103	102	0
646	NA	103	436	334
646	NA	437	436	0
646	NA	437	597	161
646	NA	598	598	1
646	NA	599	1403	805
646	NA	1404	1403	0
646	NA	1404	1715	312
646	NA	1716	1716	1
646	NA	1717	1800	84
646	NA	1801	1801	1
646	NA	1802	1923	122
647	NA	1	519	519
647	NA	520	519	0
647	NA	520	688	169
647	NA	689	689	1
647	NA	690	939	250
647	NA	940	945	6
647	NA	946	1006	61
647	NA	1007	1007	1
647	NA	1008	1923	916
648	NA	1	103	103
648	NA	104	103	0
648	NA	104	945	842
648	NA	946	946	1
648	NA	947	1564	618
648	NA	1565	1564	0
648	NA	1565	1922	358
649	NA	1	103	103
649	NA	104	103	0
649	NA	104	514	411
649	NA	515	514	0
649	NA	515	1922	1408
650	NA	1	138	138
650	NA	139	138	0
650	NA	139	618	480
650	NA	619	618	0
650	NA	619	871	253
650	NA	872	872	1
650	NA	873	1660	788
650	NA	1661	1661	1
650	NA	1662	1824	163
650	NA	1825	1825	1
650	NA	1826	1923	98
651	NA	1	317	317
651	NA	318	318	1
651	NA	319	1044	726
651	NA	1045	1045	1
651	NA	1046	1438	393
651	NA	1439	1438	0
651	NA	1439	1800	362
651	NA	1801	1801	1
651	NA	1802	1923	122
652	NA	1	103	103
652	NA	104	103	0
652	NA	104	939	836
652	NA	940	945	6
652	NA	946	1923	978
653	NA	1	1	1
653	NA	2	205	204
653	NA	206	206	1
653	NA	207	1555	1349
653	NA	1556	1555	0
653	NA	1556	1922	367
653	NA	1923	1922	0
654	NA	1	1	1
654	NA	2	26	25
654	NA	27	26	0
654	NA	27	420	394
654	NA	421	420	0
654	NA	421	858	438
654	NA	859	858	0
654	NA	859	1457	599
654	NA	1458	1457	0
654	NA	1458	1922	465
655	NA	1	1	1
655	NA	2	102	101
655	NA	103	102	0
655	NA	103	221	119
655	NA	222	221	0
655	NA	222	227	6
655	NA	228	227	0
655	NA	228	944	717
655	NA	945	962	18
655	NA	963	1121	159
655	NA	1122	1121	0
655	NA	1122	1590	469
655	NA	1591	1590	0
655	NA	1591	1922	332
656	NA	1	1	1
656	NA	2	739	738
656	NA	740	740	1
656	NA	741	1362	622
656	NA	1363	1362	0
656	NA	1363	1799	437
656	NA	1800	1800	1
656	NA	1801	1922	122
657	NA	1	1	1
657	NA	2	83	82
657	NA	84	84	1
657	NA	85	101	17
657	NA	102	101	0
657	NA	102	1922	1821
658	NA	1	1	1
658	NA	2	944	943
658	NA	945	944	0
658	NA	945	963	19
658	NA	964	963	0
658	NA	964	970	7
658	NA	971	971	1
658	NA	972	1922	951
659	NA	1	1	1
659	NA	2	203	202
659	NA	204	204	1
659	NA	205	316	112
659	NA	317	317	1
659	NA	318	507	190
659	NA	508	508	1
659	NA	509	657	149
659	NA	658	657	0
659	NA	658	1192	535
659	NA	1193	1192	0
659	NA	1193	1199	7
659	NA	1200	1199	0
659	NA	1200	1657	458
659	NA	1658	1658	1
659	NA	1659	1882	224
659	NA	1883	1882	0
659	NA	1883	1922	40
660	NA	1	1	1
660	NA	2	102	101
660	NA	103	104	2
660	NA	105	272	168
660	NA	273	273	1
660	NA	274	316	43
660	NA	317	317	1
660	NA	318	429	112
660	NA	430	429	0
660	NA	430	477	48
660	NA	478	478	1
660	NA	479	584	106
660	NA	585	585	1
660	NA	586	698	113
660	NA	699	698	0
660	NA	699	828	130
660	NA	829	828	0
660	NA	829	831	3
660	NA	832	832	1
660	NA	833	833	1
660	NA	834	835	2
660	NA	836	837	2
660	NA	838	837	0
660	NA	838	839	2
660	NA	840	842	3
660	NA	843	844	2
660	NA	845	845	1
660	NA	846	847	2
660	NA	848	849	2
660	NA	850	851	2
660	NA	852	851	0
660	NA	852	853	2
660	NA	854	853	0
660	NA	854	855	2
660	NA	856	858	3
660	NA	859	860	2
660	NA	861	860	0
660	NA	861	863	3
660	NA	864	865	2
660	NA	866	866	1
660	NA	867	869	3
660	NA	870	871	2
660	NA	872	871	0
660	NA	872	874	3
660	NA	875	874	0
660	NA	875	875	1
660	NA	876	876	1
660	NA	877	879	3
660	NA	880	880	1
660	NA	881	883	3
660	NA	884	883	0
660	NA	884	884	1
660	NA	885	885	1
660	NA	886	888	3
660	NA	889	888	0
660	NA	889	889	1
660	NA	890	891	2
660	NA	892	895	4
660	NA	896	895	0
660	NA	896	897	2
660	NA	898	898	1
660	NA	899	900	2
660	NA	901	900	0
660	NA	901	906	6
660	NA	907	908	2
660	NA	909	911	3
660	NA	912	911	0
660	NA	912	914	3
660	NA	915	914	0
660	NA	915	915	1
660	NA	916	917	2
660	NA	918	920	3
660	NA	921	921	1
660	NA	922	923	2
660	NA	924	925	2
660	NA	926	925	0
660	NA	926	928	3
660	NA	929	929	1
660	NA	930	930	1
660	NA	931	933	3
660	NA	934	935	2
660	NA	936	936	1
660	NA	937	938	2
660	NA	939	938	0
660	NA	939	941	3
660	NA	942	945	4
660	NA	946	947	2
660	NA	948	947	0
660	NA	948	948	1
660	NA	949	951	3
660	NA	952	952	1
660	NA	953	955	3
660	NA	956	955	0
660	NA	956	958	3
660	NA	959	959	1
661	NA	1	102	102
661	NA	103	102	0
661	NA	103	1922	1820
662	NA	1	1	1
662	NA	2	26	25
662	NA	27	27	1
662	NA	28	59	32
662	NA	60	99	40
662	NA	100	107	8
662	NA	108	111	4
662	NA	112	113	2
662	NA	114	118	5
662	NA	119	121	3
662	NA	122	122	1
662	NA	123	123	1
662	NA	124	124	1
662	NA	125	126	2
662	NA	127	127	1
662	NA	128	129	2
662	NA	130	131	2
662	NA	132	134	3
662	NA	135	134	0
662	NA	135	136	2
662	NA	137	138	2
662	NA	139	138	0
662	NA	139	142	4
662	NA	143	143	1
662	NA	144	145	2
662	NA	146	485	340
662	NA	486	486	1
662	NA	487	490	4
662	NA	491	492	2
662	NA	493	493	1
662	NA	494	499	6
662	NA	500	501	2
662	NA	502	503	2
662	NA	504	507	4
662	NA	508	507	0
662	NA	508	509	2
662	NA	510	510	1
662	NA	511	511	1
662	NA	512	511	0
662	NA	512	518	7
662	NA	519	519	1
662	NA	520	559	40
662	NA	560	560	1
662	NA	561	584	24
662	NA	585	585	1
662	NA	586	725	140
662	NA	726	988	263
662	NA	989	1053	65
662	NA	1054	1053	0
662	NA	1054	1242	189
662	NA	1243	1243	1
662	NA	1244	1256	13
662	NA	1257	1257	1
662	NA	1258	1388	131
662	NA	1389	1389	1
662	NA	1390	1659	270
662	NA	1660	1660	1
662	NA	1661	1823	163
662	NA	1824	1824	1
662	NA	1825	1911	87
662	NA	1912	1912	1
662	NA	1913	1922	10
663	NA	1	1	1
663	NA	2	102	101
663	NA	103	102	0
663	NA	103	221	119
663	NA	222	222	1
663	NA	223	253	31
663	NA	254	254	1
663	NA	255	511	257
663	NA	512	511	0
663	NA	512	554	43
663	NA	555	555	1
663	NA	556	791	236
663	NA	792	791	0
663	NA	792	841	50
663	NA	842	842	1
663	NA	843	858	16
663	NA	859	859	1
663	NA	860	1330	471
663	NA	1331	1331	1
663	NA	1332	1758	427
663	NA	1759	1758	0
663	NA	1759	1785	27
663	NA	1786	1786	1
663	NA	1787	1808	22
663	NA	1809	1808	0
663	NA	1809	1820	12
663	NA	1821	1820	0
663	NA	1821	1911	91
663	NA	1912	1911	0
663	NA	1912	1921	10
664	NA	1	1	1
664	NA	2	76	75
664	NA	77	77	1
664	NA	78	102	25
664	NA	103	102	0
664	NA	103	221	119
664	NA	222	221	0
664	NA	222	518	297
664	NA	519	518	0
664	NA	519	939	421
664	NA	940	944	5
664	NA	945	1199	255
664	NA	1200	1199	0
664	NA	1200	1752	553
664	NA	1753	1752	0
664	NA	1753	1799	47
664	NA	1800	1800	1
664	NA	1801	1922	122
665	NA	1	1	1
665	NA	2	568	567
665	NA	569	569	1
665	NA	570	1921	1352
665	NA	1922	1922	1
665	NA	1923	1922	0
666	NA	1	1	1
666	NA	2	26	25
666	NA	27	27	1
666	NA	28	102	75
666	NA	103	111	9
666	NA	112	188	77
666	NA	189	189	1
666	NA	190	281	92
666	NA	282	281	0
666	NA	282	398	117
666	NA	399	398	0
666	NA	399	507	109
666	NA	508	507	0
666	NA	508	511	4
666	NA	512	511	0
666	NA	512	518	7
666	NA	519	519	1
666	NA	520	534	15
666	NA	535	534	0
666	NA	535	739	205
